0.000000,	 ff980010, 	 ffffff98
25.277344,	 ff980400, 	 ffffff98
27.583984,	 ff980100, 	 ffffff98
27.778320,	 ff980110, 	 ffffff98
27.783203,	 ff980010, 	 ffffff98
28.211914,	 ff980042, 	 ffffff98
29.605469,	 ff980142, 	 ffffff98
29.835938,	 ff980042, 	 ffffff98
32.011719,	 ff980010, 	 ffffff98
32.628906,	 ff980001, 	 ffffff98
33.140625,	 ff980201, 	 ffffff98
33.338867,	 ff980001, 	 ffffff98
36.381836,	 ff980010, 	 ffffff98
37.165039,	 ff980082, 	 ffffff98
37.731445,	 ff980182, 	 ffffff98
37.920898,	 ff980082, 	 ffffff98
40.714844,	 ff980010, 	 ffffff98
41.331055,	 ff980002, 	 ffffff98
41.714844,	 ff980102, 	 ffffff98
41.919922,	 ff980002, 	 ffffff98
44.964844,	 ff980010, 	 ffffff98
45.748047,	 ff980082, 	 ffffff98
46.386719,	 ff980182, 	 ffffff98
46.583984,	 ff980082, 	 ffffff98
49.264648,	 ff980010, 	 ffffff98
50.047852,	 ff980082, 	 ffffff98
50.469727,	 ff980182, 	 ffffff98
50.665039,	 ff980082, 	 ffffff98
53.630859,	 ff980010, 	 ffffff98
54.414062,	 ff980081, 	 ffffff98
54.899414,	 ff980281, 	 ffffff98
55.112305,	 ff980081, 	 ffffff98
57.997070,	 ff980010, 	 ffffff98
58.781250,	 ff980081, 	 ffffff98
59.068359,	 ff980281, 	 ffffff98
59.298828,	 ff980081, 	 ffffff98
62.247070,	 ff980010, 	 ffffff98
63.030273,	 ff980081, 	 ffffff98
63.733398,	 ff980281, 	 ffffff98
63.905273,	 ff980081, 	 ffffff98
66.614258,	 ff980010, 	 ffffff98
67.230469,	 ff980002, 	 ffffff98
67.806641,	 ff980102, 	 ffffff98
68.015625,	 ff980002, 	 ffffff98
70.897461,	 ff980010, 	 ffffff98
71.680664,	 ff980081, 	 ffffff98
71.875000,	 ff980281, 	 ffffff98
72.062500,	 ff980081, 	 ffffff98
75.230469,	 ff980010, 	 ffffff98
75.846680,	 ff980002, 	 ffffff98
76.364258,	 ff980102, 	 ffffff98
76.578125,	 ff980002, 	 ffffff98
79.497070,	 ff980010, 	 ffffff98
80.113281,	 ff980002, 	 ffffff98
81.232422,	 ff980102, 	 ffffff98
81.452148,	 ff980002, 	 ffffff98
83.747070,	 ff980010, 	 ffffff98
84.363281,	 ff980008, 	 ffffff98
85.031250,	 ff980208, 	 ffffff98
85.218750,	 ff980008, 	 ffffff98
88.080078,	 ff980010, 	 ffffff98
88.697266,	 ff980001, 	 ffffff98
89.670898,	 ff980201, 	 ffffff98
89.847656,	 ff980001, 	 ffffff98
90.613281,	 ff980020, 	 ffffff98
94.291016,	 ff980420, 	 ffffff98
94.452148,	 ff980020, 	 ffffff98
96.296875,	 ff980010, 	 ffffff98
97.080078,	 ff980081, 	 ffffff98
98.213867,	 ff980281, 	 ffffff98
98.353516,	 ff980081, 	 ffffff98
100.546875,	 ff980010, 	 ffffff98
100.979492,	 ff980041, 	 ffffff98
101.626953,	 ff980241, 	 ffffff98
101.820312,	 ff980041, 	 ffffff98
104.879883,	 ff980010, 	 ffffff98
105.663086,	 ff980082, 	 ffffff98
106.562500,	 ff980182, 	 ffffff98
106.770508,	 ff980082, 	 ffffff98
109.179688,	 ff980010, 	 ffffff98
109.613281,	 ff980041, 	 ffffff98
110.365234,	 ff980241, 	 ffffff98
110.549805,	 ff980041, 	 ffffff98
113.429688,	 ff980010, 	 ffffff98
114.212891,	 ff980082, 	 ffffff98
114.875000,	 ff980182, 	 ffffff98
115.087891,	 ff980082, 	 ffffff98
117.729492,	 ff980010, 	 ffffff98
118.345703,	 ff980002, 	 ffffff98
119.328125,	 ff980102, 	 ffffff98
119.563477,	 ff980002, 	 ffffff98
121.913086,	 ff980010, 	 ffffff98
122.345703,	 ff980041, 	 ffffff98
123.077148,	 ff980241, 	 ffffff98
123.305664,	 ff980041, 	 ffffff98
126.179688,	 ff980010, 	 ffffff98
126.795898,	 ff980001, 	 ffffff98
127.453125,	 ff980201, 	 ffffff98
127.661133,	 ff980001, 	 ffffff98
130.445312,	 ff980010, 	 ffffff98
130.878906,	 ff980042, 	 ffffff98
132.334961,	 ff980142, 	 ffffff98
132.539062,	 ff980042, 	 ffffff98
134.695312,	 ff980010, 	 ffffff98
135.479492,	 ff980082, 	 ffffff98
136.168945,	 ff980182, 	 ffffff98
136.397461,	 ff980082, 	 ffffff98
138.995117,	 ff980010, 	 ffffff98
139.612305,	 ff980002, 	 ffffff98
141.318359,	 ff980102, 	 ffffff98
141.502930,	 ff980002, 	 ffffff98
143.362305,	 ff980010, 	 ffffff98
143.795898,	 ff980042, 	 ffffff98
144.537109,	 ff980142, 	 ffffff98
144.778320,	 ff980042, 	 ffffff98
147.562500,	 ff980010, 	 ffffff98
148.178711,	 ff980002, 	 ffffff98
149.087891,	 ff980102, 	 ffffff98
149.313477,	 ff980002, 	 ffffff98
151.745117,	 ff980010, 	 ffffff98
152.178711,	 ff980041, 	 ffffff98
153.185547,	 ff980241, 	 ffffff98
153.385742,	 ff980041, 	 ffffff98
156.061523,	 ff980010, 	 ffffff98
156.495117,	 ff980041, 	 ffffff98
157.421875,	 ff980241, 	 ffffff98
157.640625,	 ff980041, 	 ffffff98
158.594727,	 ff980020, 	 ffffff98
161.841797,	 ff980420, 	 ffffff98
162.011719,	 ff980020, 	 ffffff98
163.761719,	 ff980010, 	 ffffff98
164.377930,	 ff980008, 	 ffffff98
166.384766,	 ff980200, 	 ffffff98
167.945312,	 ff980010, 	 ffffff98
168.561523,	 ff980002, 	 ffffff98
169.758789,	 ff980102, 	 ffffff98
169.989258,	 ff980002, 	 ffffff98
172.294922,	 ff980010, 	 ffffff98
172.911133,	 ff980002, 	 ffffff98
174.092773,	 ff980102, 	 ffffff98
174.316406,	 ff980002, 	 ffffff98
176.544922,	 ff980010, 	 ffffff98
176.978516,	 ff980042, 	 ffffff98
178.579102,	 ff980142, 	 ffffff98
178.771484,	 ff980042, 	 ffffff98
180.844727,	 ff980010, 	 ffffff98
181.278320,	 ff980042, 	 ffffff98
182.576172,	 ff980142, 	 ffffff98
